ID_Org,Nom_Org,ID_Dest,Nom_Dest,Dist_KM
001,Abasolo,002,Acuña,281.0660
001,Abasolo,003,Allende,164.0050
001,Abasolo,004,Arteaga,240.5310
001,Abasolo,005,Candela,146.7900
001,Abasolo,006,Castaños,54.9530
001,Abasolo,007,Cuatro Ciénegas,77.9790
001,Abasolo,008,Escobedo,6.5330
001,Abasolo,009,Francisco I. Madero,295.6550
001,Abasolo,010,Frontera,36.1330
001,Abasolo,011,General Cepeda,234.8740
001,Abasolo,012,Guerrero,221.1130
001,Abasolo,013,Hidalgo,276.3000
001,Abasolo,014,Jiménez,261.9320
001,Abasolo,015,Juárez,104.3130
001,Abasolo,016,Lamadrid,53.2170
001,Abasolo,017,Matamoros,313.5700
001,Abasolo,018,Monclova,40.2820
001,Abasolo,019,Morelos,171.9390
001,Abasolo,020,Múzquiz,119.9790
001,Abasolo,021,Nadadores,25.1730
001,Abasolo,022,Nava,176.7590
001,Abasolo,023,Ocampo,127.6830
001,Abasolo,024,Parras,301.0110
001,Abasolo,025,Piedras Negras,220.0150
001,Abasolo,026,Progreso,64.2610
001,Abasolo,027,Ramos Arizpe,223.0640
001,Abasolo,028,Sabinas,94.1170
001,Abasolo,029,Sacramento,41.9610
001,Abasolo,030,Saltillo,237.1980
001,Abasolo,031,San Buenaventura,19.7540
001,Abasolo,032,San Juan de Sabinas,107.6660
001,Abasolo,033,San Pedro,263.7020
001,Abasolo,034,Sierra Mojada,273.3520
001,Abasolo,035,Torreón,325.1990
001,Abasolo,036,Viesca,324.0730
001,Abasolo,037,Villa Unión,181.4650
001,Abasolo,038,Zaragoza,181.4730
002,Acuña,001,Abasolo,278.5210
002,Acuña,003,Allende,117.0030
002,Acuña,004,Arteaga,501.2380
002,Acuña,005,Candela,383.2840
002,Acuña,006,Castaños,315.6600
002,Acuña,007,Cuatro Ciénegas,356.2560
002,Acuña,008,Escobedo,277.9260
002,Acuña,009,Francisco I. Madero,573.9320
002,Acuña,010,Frontera,301.6070
002,Acuña,011,General Cepeda,495.5810
002,Acuña,012,Guerrero,139.1980
002,Acuña,013,Hidalgo,217.9270
002,Acuña,014,Jiménez,46.5410
002,Acuña,015,Juárez,234.4230
002,Acuña,016,Lamadrid,331.4940
002,Acuña,017,Matamoros,591.8470
002,Acuña,018,Monclova,299.8480
002,Acuña,019,Morelos,109.1820
002,Acuña,020,Múzquiz,210.5710
002,Acuña,021,Nadadores,303.4500
002,Acuña,022,Nava,121.7800
002,Acuña,023,Ocampo,405.9590
002,Acuña,024,Parras,561.7180
002,Acuña,025,Piedras Negras,92.9100
002,Acuña,026,Progreso,263.3570
002,Acuña,027,Ramos Arizpe,483.7720
002,Acuña,028,Sabinas,185.9770
002,Acuña,029,Sacramento,320.2380
002,Acuña,030,Saltillo,497.9050
002,Acuña,031,San Buenaventura,298.0310
002,Acuña,032,San Juan de Sabinas,175.8560
002,Acuña,033,San Pedro,541.9790
002,Acuña,034,Sierra Mojada,551.6280
002,Acuña,035,Torreón,603.4760
002,Acuña,036,Viesca,602.3500
002,Acuña,037,Villa Unión,137.1140
002,Acuña,038,Zaragoza,100.1250
003,Allende,001,Abasolo,163.9310
003,Allende,002,Acuña,117.1570
003,Allende,004,Arteaga,386.6480
003,Allende,005,Candela,268.6940
003,Allende,006,Castaños,201.0700
003,Allende,007,Cuatro Ciénegas,241.6660
003,Allende,008,Escobedo,163.3360
003,Allende,009,Francisco I. Madero,459.3420
003,Allende,010,Frontera,187.0170
003,Allende,011,General Cepeda,380.9910
003,Allende,012,Guerrero,59.9660
003,Allende,013,Hidalgo,141.0140
003,Allende,014,Jiménez,100.7240
003,Allende,015,Juárez,119.8330
003,Allende,016,Lamadrid,216.9040
003,Allende,017,Matamoros,477.2570
003,Allende,018,Monclova,185.2580
003,Allende,019,Morelos,8.0310
003,Allende,020,Múzquiz,95.9810
003,Allende,021,Nadadores,188.8600
003,Allende,022,Nava,15.5500
003,Allende,023,Ocampo,291.3700
003,Allende,024,Parras,447.1280
003,Allende,025,Piedras Negras,58.8070
003,Allende,026,Progreso,148.7670
003,Allende,027,Ramos Arizpe,369.1820
003,Allende,028,Sabinas,71.3870
003,Allende,029,Sacramento,205.6480
003,Allende,030,Saltillo,383.3150
003,Allende,031,San Buenaventura,183.4410
003,Allende,032,San Juan de Sabinas,61.2660
003,Allende,033,San Pedro,427.3890
003,Allende,034,Sierra Mojada,437.0380
003,Allende,035,Torreón,488.8860
003,Allende,036,Viesca,487.7600
003,Allende,037,Villa Unión,20.3180
003,Allende,038,Zaragoza,17.5640
004,Arteaga,001,Abasolo,242.3950
004,Arteaga,002,Acuña,505.4410
004,Arteaga,003,Allende,388.3790
004,Arteaga,005,Candela,227.3690
004,Arteaga,006,Castaños,188.7230
004,Arteaga,007,Cuatro Ciénegas,282.4570
004,Arteaga,008,Escobedo,265.9060
004,Arteaga,009,Francisco I. Madero,262.9220
004,Arteaga,010,Frontera,205.0870
004,Arteaga,011,General Cepeda,80.2780
004,Arteaga,012,Guerrero,418.6840
004,Arteaga,013,Hidalgo,343.3800
004,Arteaga,014,Jiménez,486.3070
004,Arteaga,015,Juárez,328.6880
004,Arteaga,016,Lamadrid,257.6960
004,Arteaga,017,Matamoros,249.9670
004,Arteaga,018,Monclova,200.7950
004,Arteaga,019,Morelos,396.3140
004,Arteaga,020,Múzquiz,344.3530
004,Arteaga,021,Nadadores,229.6520
004,Arteaga,022,Nava,401.1330
004,Arteaga,023,Ocampo,332.1610
004,Arteaga,024,Parras,163.7970
004,Arteaga,025,Piedras Negras,444.3900
004,Arteaga,026,Progreso,288.6360
004,Arteaga,027,Ramos Arizpe,22.6270
004,Arteaga,028,Sabinas,318.4920
004,Arteaga,029,Sacramento,246.4390
004,Arteaga,030,Saltillo,16.7560
004,Arteaga,031,San Buenaventura,225.8020
004,Arteaga,032,San Juan de Sabinas,332.0410
004,Arteaga,033,San Pedro,229.9120
004,Arteaga,034,Sierra Mojada,462.5310
004,Arteaga,035,Torreón,272.7740
004,Arteaga,036,Viesca,252.2740
004,Arteaga,037,Villa Unión,405.8390
004,Arteaga,038,Zaragoza,405.8470
005,Candela,001,Abasolo,146.7300
005,Candela,002,Acuña,385.6690
005,Candela,003,Allende,268.6080
005,Candela,004,Arteaga,227.4630
005,Candela,006,Castaños,112.3620
005,Candela,007,Cuatro Ciénegas,176.8130
005,Candela,008,Escobedo,146.1340
005,Candela,009,Francisco I. Madero,394.4890
005,Candela,010,Frontera,98.4430
005,Candela,011,General Cepeda,286.8590
005,Candela,012,Guerrero,248.0270
005,Candela,013,Hidalgo,172.7230
005,Candela,014,Jiménez,341.0020
005,Candela,015,Juárez,173.0180
005,Candela,016,Lamadrid,152.0510
005,Candela,017,Matamoros,412.4040
005,Candela,018,Monclova,96.7860
005,Candela,019,Morelos,276.5430
005,Candela,020,Múzquiz,224.5820
005,Candela,021,Nadadores,124.0070
005,Candela,022,Nava,281.3620
005,Candela,023,Ocampo,226.5170
005,Candela,024,Parras,358.4190
005,Candela,025,Piedras Negras,298.1560
005,Candela,026,Progreso,168.8640
005,Candela,027,Ramos Arizpe,213.7650
005,Candela,028,Sabinas,198.7200
005,Candela,029,Sacramento,140.7950
005,Candela,030,Saltillo,227.8990
005,Candela,031,San Buenaventura,120.1580
005,Candela,032,San Juan de Sabinas,212.2690
005,Candela,033,San Pedro,362.5360
005,Candela,034,Sierra Mojada,372.1860
005,Candela,035,Torreón,424.0330
005,Candela,036,Viesca,422.9070
005,Candela,037,Villa Unión,286.0680
005,Candela,038,Zaragoza,286.0760
006,Castaños,001,Abasolo,55.0290
006,Castaños,002,Acuña,318.0750
006,Castaños,003,Allende,201.0130
006,Castaños,004,Arteaga,187.0150
006,Castaños,005,Candela,112.2850
006,Castaños,007,Cuatro Ciénegas,95.0920
006,Castaños,008,Escobedo,78.5400
006,Castaños,009,Francisco I. Madero,312.7670
006,Castaños,010,Frontera,17.7210
006,Castaños,011,General Cepeda,181.3570
006,Castaños,012,Guerrero,258.1210
006,Castaños,013,Hidalgo,285.0210
006,Castaños,014,Jiménez,298.9410
006,Castaños,015,Juárez,141.3220
006,Castaños,016,Lamadrid,70.3300
006,Castaños,017,Matamoros,333.6630
006,Castaños,018,Monclova,13.4290
006,Castaños,019,Morelos,208.9480
006,Castaños,020,Múzquiz,156.9880
006,Castaños,021,Nadadores,42.2860
006,Castaños,022,Nava,213.7670
006,Castaños,023,Ocampo,144.7950
006,Castaños,024,Parras,247.4940
006,Castaños,025,Piedras Negras,257.0240
006,Castaños,026,Progreso,101.2700
006,Castaños,027,Ramos Arizpe,169.5480
006,Castaños,028,Sabinas,131.1260
006,Castaños,029,Sacramento,59.0730
006,Castaños,030,Saltillo,183.6810
006,Castaños,031,San Buenaventura,38.4360
006,Castaños,032,San Juan de Sabinas,144.6750
006,Castaños,033,San Pedro,280.8150
006,Castaños,034,Sierra Mojada,290.4640
006,Castaños,035,Torreón,356.4710
006,Castaños,036,Viesca,335.9700
006,Castaños,037,Villa Unión,218.4730
006,Castaños,038,Zaragoza,218.4810
007,Cuatro Ciénegas,001,Abasolo,79.1390
007,Cuatro Ciénegas,002,Acuña,359.9610
007,Cuatro Ciénegas,003,Allende,242.9000
007,Cuatro Ciénegas,004,Arteaga,281.0800
007,Cuatro Ciénegas,005,Candela,177.4440
007,Cuatro Ciénegas,006,Castaños,95.5020
007,Cuatro Ciénegas,008,Escobedo,86.0310
007,Cuatro Ciénegas,009,Francisco I. Madero,218.0730
007,Cuatro Ciénegas,010,Frontera,76.6820
007,Cuatro Ciénegas,011,General Cepeda,275.4230
007,Cuatro Ciénegas,012,Guerrero,300.0080
007,Cuatro Ciénegas,013,Hidalgo,350.1800
007,Cuatro Ciénegas,014,Jiménez,340.8270
007,Cuatro Ciénegas,015,Juárez,183.2080
007,Cuatro Ciénegas,016,Lamadrid,33.5840
007,Cuatro Ciénegas,017,Matamoros,235.9880
007,Cuatro Ciénegas,018,Monclova,80.8310
007,Cuatro Ciénegas,019,Morelos,250.8350
007,Cuatro Ciénegas,020,Múzquiz,198.8740
007,Cuatro Ciénegas,021,Nadadores,53.7570
007,Cuatro Ciénegas,022,Nava,255.6540
007,Cuatro Ciénegas,023,Ocampo,50.0950
007,Cuatro Ciénegas,024,Parras,308.3370
007,Cuatro Ciénegas,025,Piedras Negras,298.9110
007,Cuatro Ciénegas,026,Progreso,143.1560
007,Cuatro Ciénegas,027,Ramos Arizpe,263.6130
007,Cuatro Ciénegas,028,Sabinas,173.0120
007,Cuatro Ciénegas,029,Sacramento,36.5440
007,Cuatro Ciénegas,030,Saltillo,277.7470
007,Cuatro Ciénegas,031,San Buenaventura,60.2330
007,Cuatro Ciénegas,032,San Juan de Sabinas,186.5610
007,Cuatro Ciénegas,033,San Pedro,186.1200
007,Cuatro Ciénegas,034,Sierra Mojada,195.7640
007,Cuatro Ciénegas,035,Torreón,247.6170
007,Cuatro Ciénegas,036,Viesca,246.4910
007,Cuatro Ciénegas,037,Villa Unión,260.3600
007,Cuatro Ciénegas,038,Zaragoza,260.3680
008,Escobedo,001,Abasolo,6.5330
008,Escobedo,002,Acuña,280.4710
008,Escobedo,003,Allende,163.4090
008,Escobedo,004,Arteaga,264.1500
008,Escobedo,005,Candela,146.1950
008,Escobedo,006,Castaños,78.5710
008,Escobedo,007,Cuatro Ciénegas,84.8700
008,Escobedo,009,Francisco I. Madero,302.5460
008,Escobedo,010,Frontera,43.0240
008,Escobedo,011,General Cepeda,258.4920
008,Escobedo,012,Guerrero,220.5180
008,Escobedo,013,Hidalgo,275.7050
008,Escobedo,014,Jiménez,261.3370
008,Escobedo,015,Juárez,103.7180
008,Escobedo,016,Lamadrid,60.1080
